ScheduleTime,Airline,FlightNumber,Destination,AircraftType,FlightType,Sector,SeatCapacity,LoadFactor
2021-01-01 06:35:00,IA,874,DEN,73W,J,US,142,0.408450704225352
2021-01-01 10:35:00,JZ,818,YHM,AT7,J,CA,74,0.189189189189189
2021-01-01 12:05:00,IA,876,DEN,73W,J,US,142,0.570422535211267
2021-01-01 13:20:00,CN,514,EST,AT7,J,US,72,0.333333333333333
2021-01-01 14:20:00,LJ,3140,DEN,32A,J,US,186,0.204301075268817
2021-01-01 13:50:00,FP,550,DXB,77W,J,AE,428,0.231308411214953
2021-01-01 14:35:00,WT,753,CAI,32N,J,EG,146,0.36986301369863
2021-01-01 15:40:00,UK,776,YVR,E90,J,CA,100,0.33
2021-01-01 15:15:00,TN,553,DOH,359,J,QA,283,0.187279151943462
2021-01-01 17:25:00,ZY,1530,CKE,73H,J,US,189,0.269841269841269
2021-01-01 18:00:00,DO,905,CKE,CR9,J,US,90,0.144444444444444
2021-01-01 18:15:00,DO,636,YYJ,32N,J,CA,180,0.0666666666666666
2021-01-01 17:40:00,DO,654,YXC,32N,J,CA,180,0.377777777777777
2021-01-01 19:30:00,KU,924,YZF,221,J,CA,125,0.216
2021-01-01 20:00:00,NH,602,MSP,E95,J,US,120,0.225
2021-01-01 20:50:00,QU,635,YPJ,319,J,CA,144,0.222222222222222
2021-01-01 23:20:00,MD,1959,BZF,320,J,US,180,0.266666666666666
2021-01-02 06:15:00,PW,950,YLW,319,J,CA,143,0.762237762237762
2021-01-02 06:20:00,UK,777,YVR,319,J,CA,138,0.81159420289855
2021-01-02 06:20:00,DO,713,YVR,32N,J,CA,180,0.322222222222222
2021-01-02 08:05:00,TN,554,DOH,359,J,QA,283,0.0742049469964664
2021-01-02 08:10:00,DO,704,YQQ,32N,J,CA,180,0.127777777777777
2021-01-02 08:15:00,DO,697,YCD,CR9,J,CA,90,0.466666666666666
2021-01-02 08:45:00,DO,679,YWG,CR9,J,CA,90,0.155555555555555
2021-01-02 08:35:00,ZY,1528,CKE,73H,J,US,189,0.206349206349206
2021-01-02 09:10:00,LJ,2394,YKA,32A,J,CA,186,0.392473118279569
2021-01-02 09:35:00,CN,512,EST,AT4,J,US,46,0.456521739130434
2021-01-02 09:50:00,MD,2024,CKX,32A,J,US,180,0.205555555555555
2021-01-02 10:35:00,CN,534,EST,AT4,J,US,46,0.195652173913043
2021-01-02 10:55:00,CL,1688,YPP,73H,J,CA,189,0.142857142857142
2021-01-02 11:00:00,ZY,813,YXC,73H,J,CA,189,0.486772486772486
2021-01-02 11:15:00,JZ,818,YHM,AT7,J,CA,74,0.459459459459459
2021-01-02 11:30:00,DO,1437,PHX,32N,J,US,180,0.155555555555555
2021-01-02 12:25:00,IA,876,DEN,73H,J,US,186,0.456989247311827
2021-01-02 12:20:00,AY,651,YYG,32N,J,CA,174,0.316091954022988
2021-01-02 11:55:00,DO,803,EWR,359,J,US,300,0.473333333333333
2021-01-02 12:30:00,DO,682,DEN,CR9,J,US,90,0.0888888888888888
2021-01-02 13:05:00,DO,1460,YKK,CR9,J,CA,90,0.388888888888888
2021-01-02 13:00:00,ZT,568,KEF,75W,J,IS,183,0.770491803278688
2021-01-02 13:40:00,UK,1313,YXX,CR9,J,CA,90,0.355555555555555
2021-01-02 13:50:00,FP,550,DXB,77W,J,AE,428,0.329439252336448
2021-01-02 15:30:00,WT,753,CAI,32N,J,EG,146,0.260273972602739
2021-01-02 15:35:00,DO,668,YYZ,32N,J,CA,180,0.438888888888888
2021-01-02 16:00:00,PW,1117,YLW,320,J,CA,180,0.711111111111111
