,ScheduleTime,Airline,FlightNumber,Destination,AircraftType,FlightType,Sector,SeatCapacity,LoadFactor
0,2022-03-01 05:45:00,UK,1315,YXX,319,J,CA,131,0.41142884603093144
1,2022-03-01 07:15:00,PW,950,YLW,319,J,CA,143,0.63780299761868
2,2022-03-01 06:45:00,VW,770,YYZ,320,J,CA,220,0.4671368267928626
3,2022-03-01 06:40:00,DO,2568,YXU,32N,J,CA,180,0.5659833333333322
4,2022-03-01 07:30:00,AY,984,YYG,320,J,CA,174,0.40144314184361
5,2022-03-01 06:40:00,SV,1564,YYJ,73H,J,CA,186,0.20463032919764854
6,2022-03-01 07:05:00,IK,874,YAD,321,C,CA,212,0.8116485519171863
7,2022-03-01 08:00:00,CN,510,EST,AT4,J,US,46,0.46901281385033683
8,2022-03-01 07:30:00,CN,2074,BGW,320,O,IQ,180,0.39475444339132754
9,2022-03-01 08:50:00,DO,987,YXC,32N,J,CA,180,0.17938876311909055
10,2022-03-01 08:45:00,DO,1047,YLL,AT7,J,CA,70,0.1091745762457633
11,2022-03-01 08:10:00,DO,1123,OFF,CR9,J,US,90,0.18325735623119338
12,2022-03-01 07:40:00,SH,617,BWI,359,J,US,253,0.2622359753311673
13,2022-03-01 09:00:00,NU,534,UTM,AT7,J,US,48,0.3757430914294476
14,2022-03-01 08:25:00,CN,511,EST,AT7,J,US,70,0.3797716622989363
15,2022-03-01 08:20:00,IK,780,YXC,332,C,CA,322,0.569837600837182
16,2022-03-01 09:15:00,CN,551,CKE,AT7,J,US,72,0.3376647843636349
17,2022-03-01 08:35:00,DO,679,YWG,32N,J,CA,180,0.16593053372290942
18,2022-03-01 08:10:00,JZ,817,YHM,E90,J,CA,100,0.40203698222707007
19,2022-03-01 08:00:00,MD,1538,MJQ,32A,J,US,230,0.4750036365571211
20,2022-03-01 09:10:00,DO,902,CKE,32N,J,US,180,0.2128037403503513
21,2022-03-01 09:15:00,ZY,811,YXC,73H,J,CA,186,0.3460424859269827
22,2022-03-01 09:35:00,DO,817,HDI,359,J,US,300,0.25339598884199216
23,2022-03-01 10:05:00,PW,1083,YLW,320,J,CA,148,0.5275857503092068
24,2022-03-01 09:55:00,VD,760,FNK,333,J,US,285,0.7117794196540731
25,2022-03-01 10:20:00,DO,679,YQR,CR9,J,CA,90,0.17107651515151498
26,2022-03-01 10:35:00,PU,857,ASE,32N,J,US,189,0.49212897775496356
27,2022-03-01 10:40:00,BT,660,NPA,DH4,J,US,76,0.41564111291170186
28,2022-03-01 11:55:00,DO,973,YYJ,32N,J,CA,180,0.21795199268955026
29,2022-03-01 12:10:00,DO,764,AIY,CR9,J,US,90,0.508341510341511
30,2022-03-01 12:10:00,IA,876,DEN,73H,J,US,186,0.4946210959138412
31,2022-03-01 12:00:00,DO,803,EWR,333,J,US,266,0.24950513796576312
32,2022-03-01 12:10:00,JZ,822,YHM,E90,J,CA,100,0.4581287108275574
33,2022-03-01 13:05:00,DO,1080,YJO,CR9,J,CA,90,0.16870408850408813
34,2022-03-01 12:40:00,DO,1415,DAB,CR9,J,US,90,0.12191915836101883
35,2022-03-01 12:15:00,AY,651,YYG,320,J,CA,174,0.4009696531120277
36,2022-03-01 12:55:00,CL,711,YQR,7M8,J,CA,197,0.44459059979720317
37,2022-03-01 13:25:00,UK,775,YVR,32N,J,CA,172,0.4294836458268831
38,2022-03-01 13:05:00,ZT,568,KEF,7M8,J,IS,160,0.4201689843719935
